"","Gender","Age","Stress_Level","Rapid_Heartbeat","Anxiety","Sleep_Problems","Anxiety_Level","Headaches","Irritation","Concentration_Problems","Low_Mood","Health_Issues","Loneliness","Academic_Workload","Peer_Competition","Relationship_Stress","Professor_Difficulty","Work_Environment","Lack_of_Leisure_Time","Home_Environment","Low_Academic_Confidence","Subject_Confidence","Activity_Conflict","Class_Attendance","Weight_Change","Stress_Type"
"768","0",18,3,3,1,4,4,4,3,5,4,3,3,4,3,1,3,5,5,3,3,3,5,4,4,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"769","1",17,1,2,4,4,3,2,3,3,4,4,2,3,2,4,3,3,2,5,3,1,1,1,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"770","0",19,4,3,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,3,4,2,4,4,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"771","0",18,4,2,2,3,3,4,1,4,4,4,3,3,3,2,3,4,4,5,4,3,4,4,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"772","1",19,2,2,2,2,3,3,1,2,3,3,1,3,2,2,1,3,2,4,1,3,2,4,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"773","1",21,4,1,4,4,3,5,3,4,5,4,2,3,3,3,3,4,4,3,5,3,3,3,4,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"774","0",20,4,1,3,4,4,4,2,2,2,4,1,1,1,1,3,5,4,5,5,5,5,3,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"775","0",20,5,1,3,4,3,2,4,4,1,1,1,4,2,5,4,3,2,5,4,4,3,4,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"776","1",21,4,3,2,1,2,3,5,5,5,4,5,5,4,5,3,3,5,3,4,5,5,4,3,"Distress (Negative Stress) - Stress that causes anxiety and impairs well-being."
"777","0",20,2,1,5,1,5,4,2,4,3,1,2,1,4,1,2,3,4,4,1,3,4,1,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"778","1",20,4,5,2,1,2,3,3,3,3,4,1,1,3,3,3,4,2,1,5,1,3,5,4,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"779","1",20,5,1,3,2,2,3,1,2,1,2,3,2,3,5,3,4,3,4,2,5,5,5,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"780","1",21,5,1,3,4,4,4,4,2,2,2,1,1,4,2,4,3,3,2,2,3,5,4,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"781","1",20,5,2,2,1,1,4,2,4,4,3,4,2,3,3,3,3,3,3,1,4,5,4,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
